turn_id,pause_index,p_eot
en__000,0,0.1300
en__000,1,0.0400
en__000,2,0.1000
en__000,3,0.7200
en__001,0,0.1200
en__001,1,0.6500
en__002,0,0.0700
en__002,1,0.1300
en__002,2,0.1600
en__002,3,0.2600
en__002,4,0.0600
en__002,5,0.2700
en__002,6,0.6700
en__003,0,0.8100
en__004,0,0.1000
en__004,1,0.8200
en__005,0,0.0600
en__005,1,0.7200
en__006,0,0.1500
en__006,1,0.1500
en__006,2,0.8100
en__007,0,0.1000
en__007,1,0.1300
en__007,2,0.0600
en__007,3,0.0900
en__007,4,0.0800
en__007,5,0.0000
en__007,6,0.6700
en__008,0,0.1700
en__008,1,0.2600
en__008,2,0.0600
en__008,3,0.7400
en__009,0,0.6700
en__010,0,0.1500
en__010,1,0.6600
en__011,0,0.7300
en__012,0,0.0900
en__012,1,0.0300
en__012,2,0.7400
en__013,0,0.7400
en__014,0,0.1000
en__014,1,0.8300
en__015,0,0.1100
en__015,1,0.6000
en__016,0,0.0300
en__016,1,0.1200
en__016,2,0.7200
en__017,0,0.2000
en__017,1,0.7300
en__018,0,0.0000
en__018,1,0.0300
en__018,2,0.1300
en__018,3,0.0500
en__018,4,0.0300
en__018,5,0.6100
en__019,0,0.8100
en__020,0,0.0400
en__020,1,0.1200
en__020,2,0.8600
en__021,0,0.6900
en__022,0,0.0900
en__022,1,0.8500
en__023,0,0.0600
en__023,1,0.0400
en__023,2,0.6500
en__024,0,0.1500
en__024,1,0.2000
en__024,2,0.9200
en__025,0,0.7700
en__026,0,0.6600
en__027,0,0.3000
en__027,1,0.9400
en__028,0,0.0700
en__028,1,0.7900
en__029,0,0.1600
en__029,1,0.0300
en__029,2,0.6700
en__030,0,0.0600
en__030,1,0.1900
en__030,2,0.0800
en__030,3,0.0400
en__030,4,0.7800
en__031,0,0.8200
en__032,0,0.1300
en__032,1,0.8500
en__033,0,0.7000
en__034,0,0.1700
en__034,1,0.6800
en__035,0,0.0900
en__035,1,0.1100
en__035,2,0.7400
en__036,0,0.1400
en__036,1,0.0600
en__036,2,0.7700
en__037,0,0.1000
en__037,1,0.1200
en__037,2,0.1900
en__037,3,0.7500
en__038,0,0.0600
en__038,1,0.0800
en__038,2,0.0300
en__038,3,0.8500
en__039,0,0.1100
en__039,1,0.0900
en__039,2,0.6900
en__040,0,0.7800
en__041,0,0.8200
en__042,0,0.0400
en__042,1,0.0000
en__042,2,0.1900
en__042,3,0.0800
en__042,4,0.7100
en__043,0,0.8600
en__044,0,0.1000
en__044,1,0.0900
en__044,2,0.9300
en__045,0,0.0100
en__045,1,0.7400
en__046,0,0.0700
en__046,1,0.0400
en__046,2,0.7700
en__047,0,0.8100
en__048,0,0.0800
en__048,1,0.6700
en__049,0,0.0800
en__049,1,0.0700
en__049,2,0.1200
en__049,3,0.1100
en__049,4,0.8000
en__050,0,0.8000
en__051,0,0.1700
en__051,1,0.3000
en__051,2,0.8100
en__052,0,0.0400
en__052,1,0.0600
en__052,2,0.8400
en__053,0,0.0400
en__053,1,0.8600
en__054,0,0.2000
en__054,1,0.7700
en__055,0,0.7600
en__056,0,0.9100
en__057,0,0.8000
en__058,0,0.7800
en__059,0,0.1100
en__059,1,0.0900
en__059,2,0.7400
en__060,0,0.0600
en__060,1,0.7300
en__061,0,0.2100
en__061,1,0.2500
en__061,2,0.7300
en__062,0,0.8400
en__063,0,0.2500
en__063,1,0.8700
en__064,0,0.0800
en__064,1,0.8800
en__065,0,0.0800
en__065,1,0.0700
en__065,2,0.7500
en__066,0,0.0500
en__066,1,0.7400
en__067,0,0.0600
en__067,1,0.1300
en__067,2,0.8200
en__068,0,0.1100
en__068,1,0.1400
en__068,2,0.7600
en__069,0,0.0800
en__069,1,0.8100
en__070,0,0.1200
en__070,1,0.0600
en__070,2,0.0600
en__070,3,0.1700
en__070,4,0.0600
en__070,5,0.1100
en__070,6,0.7900
en__071,0,0.7700
en__072,0,0.7700
en__073,0,0.0600
en__073,1,0.6800
en__074,0,0.8900
en__075,0,0.7500
en__076,0,0.7000
en__077,0,0.2000
en__077,1,0.2900
en__077,2,0.6300
en__078,0,0.6800
en__079,0,0.1800
en__079,1,0.6600
en__080,0,0.0600
en__080,1,0.1100
en__080,2,0.1500
en__080,3,0.2000
en__080,4,0.1100
en__080,5,0.8800
en__081,0,0.0300
en__081,1,0.0900
en__081,2,0.0900
en__081,3,0.1100
en__081,4,0.8200
en__082,0,0.0900
en__082,1,0.9500
en__083,0,0.0900
en__083,1,0.1100
en__083,2,0.8100
en__084,0,0.7300
en__085,0,0.7900
en__086,0,0.1000
en__086,1,0.0400
en__086,2,0.7400
en__087,0,0.7200
en__088,0,0.0600
en__088,1,0.7400
en__089,0,0.1000
en__089,1,0.7000
en__090,0,0.2600
en__090,1,0.0500
en__090,2,0.1100
en__090,3,0.8800
en__091,0,0.1100
en__091,1,0.1800
en__091,2,0.1600
en__091,3,0.1300
en__091,4,0.0600
en__091,5,0.1600
en__091,6,0.2300
en__091,7,0.7200
en__092,0,0.1800
en__092,1,0.8500
en__093,0,0.0500
en__093,1,0.0800
en__093,2,0.0700
en__093,3,0.0700
en__093,4,0.6100
en__094,0,0.1100
en__094,1,0.8600
en__095,0,0.0200
en__095,1,0.0800
en__095,2,0.0900
en__095,3,0.0500
en__095,4,0.0600
en__095,5,0.7500
en__096,0,0.7600
en__097,0,0.0600
en__097,1,0.6300
en__098,0,0.7600
en__099,0,0.7800
